ANO_ELEICAO,NUM_TURNO,SIGLA_UE,DESCRICAO_CARGO,APTOS,COMPARECIMENTO
2006,1,RJ,SENADOR,10891293,9255690
2006,1,RN,DEPUTADO ESTADUAL,2101144,1789912
2006,1,RN,DEPUTADO FEDERAL,2101144,1789912
2006,1,RN,GOVERNADOR,2101144,1789912
2006,1,RN,SENADOR,2101144,1789912
2006,1,RO,DEPUTADO ESTADUAL,988631,785916
2006,1,RO,DEPUTADO FEDERAL,988631,785916
2006,1,RO,GOVERNADOR,988631,785916
2006,1,RO,SENADOR,988631,785916
2006,1,RR,DEPUTADO ESTADUAL,233596,199240
2006,1,RR,DEPUTADO FEDERAL,233596,199240
2006,1,RR,GOVERNADOR,233596,199239
2006,1,RR,SENADOR,233596,199239
2006,1,RS,DEPUTADO ESTADUAL,7750583,6676828
2006,1,RS,DEPUTADO FEDERAL,7750583,6676828
2006,1,RS,GOVERNADOR,7750583,6676828
2006,1,RS,SENADOR,7750583,6676828
2006,1,SC,DEPUTADO ESTADUAL,4168495,3588173
2006,1,SC,DEPUTADO FEDERAL,4168495,3588173
2006,1,SC,GOVERNADOR,4168495,3588173
2006,1,SC,SENADOR,4168495,3588173
2006,1,SE,DEPUTADO ESTADUAL,1299785,1111558
2006,1,SE,DEPUTADO FEDERAL,1299785,1111558
2006,1,SE,GOVERNADOR,1299785,1111558
2006,1,SE,SENADOR,1299785,1111558
2006,1,SP,DEPUTADO ESTADUAL,28037256,23771579
2006,1,SP,DEPUTADO FEDERAL,28037256,23771579
2006,1,SP,GOVERNADOR,28037256,23771584
2006,1,SP,SENADOR,28037256,23771584
2006,1,TO,DEPUTADO ESTADUAL,882728,722081
2006,1,TO,DEPUTADO FEDERAL,882728,722081
2006,1,TO,GOVERNADOR,882728,722082
2006,1,TO,SENADOR,882728,722082
2006,2,GO,GOVERNADOR,3734185,2971410
2006,2,MA,GOVERNADOR,3920608,2973091
2006,2,PA,GOVERNADOR,4157735,3154056
2006,2,PB,GOVERNADOR,2573766,2132596
2006,2,PE,GOVERNADOR,5834512,4671124
2006,2,PR,GOVERNADOR,7121257,5870596
2006,2,RJ,GOVERNADOR,10890932,9001709
2006,2,RN,GOVERNADOR,2101144,1749638
2006,2,RS,GOVERNADOR,7750583,6553582
2006,2,SC,GOVERNADOR,4168495,3533276
2010,1,AC,DEPUTADO ESTADUAL,470545,363570
2010,1,AC,DEPUTADO FEDERAL,470545,363570
2010,1,AC,GOVERNADOR,470545,363570
2010,1,AC,SENADOR,941090,727140
2010,1,AL,DEPUTADO ESTADUAL,2033483,1583844
2010,1,AL,DEPUTADO FEDERAL,2033483,1583844
2010,1,AL,GOVERNADOR,2033483,1583844
2010,1,AL,SENADOR,4066966,3167688
2010,1,AM,DEPUTADO ESTADUAL,2027377,1621389
2010,1,AM,DEPUTADO FEDERAL,2027377,1621389
2010,1,AM,GOVERNADOR,2027377,1621389
2010,1,AM,SENADOR,4054754,3242778
2010,1,AP,DEPUTADO ESTADUAL,420331,357792
2010,1,AP,DEPUTADO FEDERAL,420331,357792
2010,1,AP,GOVERNADOR,420331,357792
2010,1,AP,SENADOR,840662,715584
2010,1,BA,DEPUTADO ESTADUAL,9543992,7486389
2010,1,BA,DEPUTADO FEDERAL,9543992,7486389
2010,1,BA,GOVERNADOR,9543706,7486192
2010,1,BA,SENADOR,19087412,14972384
2010,1,CE,DEPUTADO ESTADUAL,5878066,4699435
2010,1,CE,DEPUTADO FEDERAL,5878066,4699435
2010,1,CE,GOVERNADOR,5878066,4699435
2010,1,CE,SENADOR,11756132,9398870
2010,1,DF,DEPUTADO DISTRITAL,1833942,1550765
2010,1,DF,DEPUTADO FEDERAL,1833942,1550765
2010,1,DF,GOVERNADOR,1833942,1550765
2010,1,DF,SENADOR,3667884,3101530
2010,1,ES,DEPUTADO ESTADUAL,2521991,2083045
2010,1,ES,DEPUTADO FEDERAL,2521991,2083045
2010,1,ES,GOVERNADOR,2521991,2083045
2010,1,ES,SENADOR,5043982,4166090
2010,1,GO,DEPUTADO ESTADUAL,4058912,3329636
2010,1,GO,DEPUTADO FEDERAL,4058912,3329636
2010,1,GO,GOVERNADOR,4058912,3329636
2010,1,GO,SENADOR,8117824,6659272
2010,1,MA,DEPUTADO ESTADUAL,4320748,3285100
2010,1,MA,DEPUTADO FEDERAL,4320748,3285100
2010,1,MA,GOVERNADOR,4320748,3285100
2010,1,MA,SENADOR,8641496,6570200
2010,1,MG,DEPUTADO ESTADUAL,14513934,11838442
2010,1,MG,DEPUTADO FEDERAL,14513934,11838442
2010,1,MG,GOVERNADOR,14513934,11838442
2010,1,MG,SENADOR,29027868,23676884
2010,1,MS,DEPUTADO ESTADUAL,1700912,1392464
2010,1,MS,DEPUTADO FEDERAL,1700912,1392464
2010,1,MS,GOVERNADOR,1700912,1392464
2010,1,MS,SENADOR,3401824,2784928
2010,1,MT,DEPUTADO ESTADUAL,2094032,1655212
2010,1,MT,DEPUTADO FEDERAL,2094032,1655212
2010,1,MT,GOVERNADOR,2094032,1655212
2010,1,MT,SENADOR,4188064,3310424
2010,1,PA,DEPUTADO ESTADUAL,4763365,3754610
2010,1,PA,DEPUTADO FEDERAL,4763365,3754610
2010,1,PA,GOVERNADOR,4763365,3754610
2010,1,PA,SENADOR,9526730,7509220
2010,1,PB,DEPUTADO ESTADUAL,2738313,2232261
2010,1,PB,DEPUTADO FEDERAL,2738313,2232261
2010,1,PB,GOVERNADOR,2738313,2232261
2010,1,PB,SENADOR,5476626,4464522
2010,1,PE,DEPUTADO ESTADUAL,6256213,5041936
2010,1,PE,DEPUTADO FEDERAL,6256213,5041936
2010,1,PE,GOVERNADOR,6256213,5041936
2010,1,PE,SENADOR,12512426,10083872
2010,1,PI,DEPUTADO ESTADUAL,2261862,1813324
2010,1,PI,DEPUTADO FEDERAL,2261862,1813324
2010,1,PI,GOVERNADOR,2261862,1813324
2010,1,PI,SENADOR,4523724,3626648
2010,1,PR,DEPUTADO ESTADUAL,7597999,6347623
2010,1,PR,DEPUTADO FEDERAL,7597999,6347623
2010,1,PR,GOVERNADOR,7597999,6347623
2010,1,PR,SENADOR,15195998,12695246
2010,1,RJ,DEPUTADO ESTADUAL,11584083,9572486
2010,1,RJ,DEPUTADO FEDERAL,11584083,9572486
2010,1,RJ,GOVERNADOR,11584083,9572486
2010,1,RJ,SENADOR,23168166,19144972
2010,1,RN,DEPUTADO ESTADUAL,2245115,1877681
2010,1,RN,DEPUTADO FEDERAL,2245115,1877681
2010,1,RN,GOVERNADOR,2245115,1877681
2010,1,RN,SENADOR,4490230,3755362
2010,1,RO,DEPUTADO ESTADUAL,1078348,846351
2010,1,RO,DEPUTADO FEDERAL,1078348,846351
2010,1,RO,GOVERNADOR,1078348,846351
2010,1,RO,SENADOR,2156696,1692702
2010,1,RR,DEPUTADO ESTADUAL,271596,233616
2010,1,RR,DEPUTADO FEDERAL,271596,233616
2010,1,RR,GOVERNADOR,271596,233616
2010,1,RR,SENADOR,543192,467232
2010,1,RS,DEPUTADO ESTADUAL,8107550,6902902
2010,1,RS,DEPUTADO FEDERAL,8107550,6902902
2010,1,RS,GOVERNADOR,8107550,6902902
2010,1,RS,SENADOR,16215100,13805804
2010,1,SC,DEPUTADO ESTADUAL,4536718,3900064
2010,1,SC,DEPUTADO FEDERAL,4536718,3900064
2010,1,SC,GOVERNADOR,4536718,3900064
2010,1,SC,SENADOR,9073436,7800128
2010,1,SE,DEPUTADO ESTADUAL,1425334,1184869
